timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_inclusion_rate,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,block_delay_total_ms,block_delay_observed_ms,block_delay_consensus_verification_ms,block_delay_execution_ms
1763826510.0443761,2018,63,2018,1952,synced,2,5.0,16,0.0,15,15,,,,,35.0,19.0,7.0,4.0
1763826522.101778,2019,63,2019,1952,synced,2,4.971631415137979,16,0.0,15,15,,,,,29.0,17.0,5.0,3.0
1763826534.18079,2020,63,2020,1952,synced,2,4.968812810899732,16,0.0,15,15,,,,,33.0,18.0,7.0,4.0
1763826546.268061,2021,63,2021,1952,synced,2,4.967962020705079,17,0.0,15,15,,,,,27.0,15.0,6.0,2.0
1763826558.339251,2022,63,2022,1952,synced,2,4.967510505205431,17,0.0,15,15,,,,,25.0,18.0,2.0,2.0
1763826570.422288,2023,63,2023,1952,synced,2,4.9653466309374,19,0.0,15,15,,,,,48.0,25.0,7.0,11.0
1763826582.525559,2024,63,2024,1952,synced,2,4.964823801775607,19,0.0,15,15,,,,,28.0,16.0,4.0,4.0
1763826594.60034,2025,63,2025,1952,synced,2,4.965431889788897,20,0.0,15,15,,,,,29.0,16.0,5.0,4.0
1763826606.685765,2026,63,2026,1952,synced,2,4.963892856150104,19,0.0,15,15,,,,,66.0,34.0,14.0,13.0
1763826618.7819772,2027,63,2027,1952,synced,2,4.961446373264734,20,0.0,15,15,,,,,55.0,30.0,8.0,11.0
1763826630.881196,2028,63,2028,1952,synced,2,4.962951371034025,20,0.0,15,15,,,,,26.0,16.0,3.0,2.0
1763826642.9608488,2029,63,2029,1952,synced,2,4.962357516085873,21,0.0,15,15,,,,,27.0,17.0,4.0,2.0
1763826655.0378711,2030,63,2030,1952,synced,2,4.962305484400915,21,0.0,15,15,,,,,32.0,18.0,2.0,8.0
1763826667.131074,2031,63,2031,1952,synced,2,4.967543525194464,23,0.0,15,15,,,,,34.0,17.0,4.0,3.0
1763826679.1845949,2032,63,2032,1952,synced,2,4.967940118037472,23,0.0,15,15,,,,,27.0,18.0,2.0,3.0
1763826691.2628438,2033,63,2033,1952,synced,2,4.968788260076619,23,0.0,15,15,,,,,44.0,23.0,6.0,6.0
1763826703.343636,2034,63,2034,1952,synced,2,4.970482885315379,24,0.0,15,15,,,,,26.0,19.0,3.0,1.0
1763826715.423775,2035,63,2035,1952,synced,2,4.9679666464424175,24,0.0,15,15,,,,,42.0,26.0,8.0,5.0
1763826727.496116,2035,63,2035,1952,synced,2,4.966781350089135,25,0.0,15,15,,,,,42.0,26.0,8.0,5.0
1763826739.575847,2037,63,2037,1952,synced,2,3.7252529880576284,24,0.0,15,15,,,,,32.0,15.0,6.0,6.0
1763826751.6635652,2038,63,2038,1952,synced,2,3.7251039023008414,25,0.0,15,15,,,,,32.0,18.0,6.0,3.0
1763826763.738842,2039,63,2039,1952,synced,2,3.7266109326018415,25,0.0,15,15,,,,,23.0,16.0,3.0,1.0
1763826775.807785,2040,63,2040,1952,synced,2,4.9691818137336385,27,0.0,15,15,,,,,37.0,19.0,5.0,3.0
1763826787.873867,2041,63,2041,1952,synced,2,4.96977632181934,27,0.0,15,15,,,,,27.0,17.0,5.0,2.0
1763826799.9379342,2042,63,2042,1952,synced,2,4.971657835653061,28,0.0,15,15,,,,,46.0,23.0,9.0,5.0
