timestamp,slot,epoch,head_slot,finalized_slot,sync_status,connected_peers,block_production_rate,attestation_count,attestation_pool_size,validator_count,active_validators,cpu_usage,memory_usage,network_bytes_received,network_bytes_sent,propagation_delay,finalization_progression
1764414751.1463914,7,0,7,,synced,9,,1,1,15,15,1.24,210702336,1116536,1375066,,
1764414763.2422917,9,0,9,,synced,9,0.16534527822362818,2,2,15,15,1.05,216588288,1339413,1814806,,
1764414775.2659423,11,0,11,,synced,9,0.16633883159525026,3,3,15,15,0.96,218812416,1672557,2144538,,
1764414787.283977,12,0,12,,synced,9,0.08320828032595523,3,3,15,15,1.12,218312704,1959768,2419710,,
1764414799.3035867,15,0,15,,synced,9,0.2495921313125228,4,4,15,15,0.87,219992064,2262052,2754387,,
1764414811.329287,16,0,16,,synced,9,0.08315524023530553,4,4,15,15,0.81,217718784,2468816,3044192,,
1764414823.3551457,16,0,16,,synced,9,,5,5,15,15,0.69,217960448,2636731,3280274,,
1764414835.3725767,21,0,21,,synced,9,0.41606230078393985,6,6,15,15,0.68,219082752,2914800,3596514,,
1764414847.3988268,23,0,23,,synced,9,0.16630287740419153,7,7,15,15,0.65,223694848,3312470,4006634,,
1764414859.4398112,26,0,26,,synced,9,0.24914906475186527,8,8,15,15,0.51,224215040,3683193,4561096,,
1764414871.493703,26,0,26,,synced,9,,9,9,15,15,0.43,223318016,3919677,4865342,,
1764414883.5204265,29,0,29,,synced,9,0.24944449494074933,11,11,15,15,0.52,222543872,4218133,5228836,,
1764414895.5404694,31,0,31,,synced,9,0.1663887572830963,11,11,15,15,0.47,235913216,4484029,5513017,,
1764414907.556305,33,1,33,,synced,9,0.166447018692205,10,10,15,15,0.4,249991168,4857536,5864886,,
1764414919.581803,35,1,35,,synced,9,0.1663132765692621,11,11,15,15,0.31,240955392,5225513,6173300,,
1764414931.6082108,36,1,36,,synced,9,0.0831503490812592,11,11,15,15,0.34,240984064,5462912,6494331,,
1764414943.6349618,39,1,39,,synced,9,0.249443926266532,12,12,15,15,0.28,243326976,5823413,6808216,,
1764414955.6615005,40,1,40,,synced,9,0.0831494441077495,14,14,15,15,1.53,242720768,6089709,7071680,,
1764414967.6868317,43,1,43,,synced,9,0.24947337711060305,14,14,15,15,1.45,242860032,6348458,7548872,,
1764414979.7158556,43,1,43,,synced,9,,15,15,15,15,1.13,240443392,6504677,7820591,,
1764414991.7418232,47,1,47,,synced,9,0.3326135687142594,16,16,15,15,0.95,243695616,6789173,8096258,,
1764415003.7687821,49,1,49,,synced,9,0.16629307621122386,16,16,15,15,0.81,245661696,7122958,8480282,,
1764415015.7866476,51,1,51,,synced,9,0.16641890470611367,16,16,15,15,0.7,245178368,7381285,8795151,,
1764415027.8118103,51,1,51,,synced,9,,17,17,15,15,0.59,243019776,7577482,9058107,,
1764415039.837543,55,1,55,,synced,9,0.3326200640968871,17,17,15,15,0.46,246083584,7921098,9419127,,
